Sturnus_cineraceus,1,0,0,0,0,0,0,0,0,0,birds
Seicercus_castaniceps_,1,0,0,0,0,0,0,0,0,0,birds
Sturnus_sericeus,1,0,0,0,0,0,0,0,0,0,birds
Myophonus_caeruleus,1,0,0,0,0,0,0,0,0,0,birds
Glaucidium_brodiei,0,0,0,0,0,0,0,1,0,0,birds
Glaucidium_cuculoides,0,0,0,0,0,1,0,0,0,0,birds
Muscicapa_griseisticta,0,0,0,0,0,1,0,0,0,0,birds
Pomatorhinus_erythrogenys,0,0,0,0,0,0,0,0,0,0,birds
Turdus_merula,0,0,0,0,0,0,0,0,0,0,birds
Caprimulgus_indicus,0,0,0,0,0,0,0,0,0,0,birds
Emberiza_rustica,0,0,0,0,0,0,0,0,0,0,birds
Emberiza_pallasi,0,0,0,0,0,0,0,0,0,0,birds
Garrulax_pectoralis,0,0,0,0,0,0,0,0,0,0,birds
Eumeces_chinensis,1,1,1,1,1,1,1,1,0,0,lizards
Takydromus_septentrionalis,1,1,1,1,1,0,0,0,1,0,lizards
Eumeces_elegans,1,1,0,1,0,0,1,0,0,0,lizards
Scincella_modesta,1,1,1,0,1,0,0,0,0,0,lizards
Sphenomorphus_indicus,1,0,1,0,0,0,0,0,0,0,lizards
Niviventer_confucianus,1,1,1,1,1,1,1,1,1,1,small_mammals
Crocidura_attenuata,1,1,1,0,1,1,0,1,1,0,small_mammals
Crocidura_shantungensis,1,1,1,1,1,1,0,0,0,0,small_mammals
Apodemus_draco,1,0,0,0,0,1,1,0,0,0,small_mammals
Niviventer_fulvescens,1,1,0,1,0,1,0,1,0,0,small_mammals
Leopoldamys_edwardsi,1,0,1,0,0,1,0,0,0,0,small_mammals
Berylmys_bowersi,0,0,0,1,0,1,0,0,0,0,small_mammals
Rattus_norvegicus,1,0,0,0,0,0,0,0,0,0,small_mammals
Eothenomys_melanogaster,1,0,0,0,0,0,0,0,0,0,small_mammals
Apodemus_agrarius,1,0,0,0,0,0,0,0,0,0,small_mammals
Rattus_tanezumi,0,0,0,0,0,0,0,0,0,1,small_mammals
